page 2	THE TRANSVAAL CRISIS.
page 3	THE RECENT THIBETAN RIOT.
page 3	THE "CHARLESTON" FIRED ON.
page 3	A PLOT TO BLOW UP THE RAIL-ROAD DISCOVERED.
page 3	MAIZE AS AN ARTICLE OF FOOD IN THE PHILIPPINES.
page 3	COMPANIES IN MALAYA.
page 3	A MINERS GAME.
page 3	AN ELEPHANT KRAAL IN CEYLON.
page 3	LONDON TO DAWSON IN SEVENTEEN DAYS.
page 3	GERMANY AND THE UNITED STATES.
page 3	THE HURRICANE IN THE WEST INDIES.
page 3	SOME ARTFUL DODGES.
page 3	THE ETIQUETTE OF THE STARBOARD SIDE.
