page 2	　昌又兵變
page 3	外交團因陝將開戰擬向外部　將旅外僑保護出境　張作霖電令逮捕岳樹森母及　到津為吳慶桐報　
page 3	黔軍侵柳州係反對陸榮廷並非助　因川滇黔代表會議對陸甚不滿意陸希望巡閱使與曹錕張作霖比肩故激成反動此係小督反對大督擴　
page 3	各縣審檢分庭准八月開設
page 3	又是朝裏有人好做官
page 3	衛生局員讀針灸為針炙
page 3	墨國禁華僑入境
page 3	香港網球得　
page 3	印度丸與橫濱丸相撞　
page 3	陳遐齡電稱藏番進逼全邊震動參陸處電陸洪濤飭今日東鎮守使便　日馳援
page 3	武昌兵變督軍省長兩署無恙煙酒及稅局等均被劫　花稅局長有遇害
page 3	奉訊張作霖俟奉天軍事會議畢後赴洮南設大本營許蘭洲同　並擬再編 三混成旅
page 3	華僑代表廖衡酌昨謁顏惠慶請力爭學校註冊條　
page 3	張瑞麟與張志潭商議調解學潮並囑雙方均勿起　
page 3	我國對英日續盟提出正式聲明今日可電令顧維鈞照辦
page 3	曹錕電　務院催發積欠百　
page 3	八號晚之南關爆炸　
page 3	旅京鄂人因宜昌武昌兵變開緊急會議決請府院查辦並進行驅逐王占元運　
page 3	教職員宣言不使馬聚倫獨受誣陷誓共負
page 3	外交團請平粵亂免僑民　　
page 3	靳雲鵬語校長團此後教育費可不拖欠但校長負責一慎選教員二嚴束學生
page 3	張作霖定端節後誓師征蒙並保汲金純為經略副　
page 3	施肇基電稱美資本家會議召史蒂芬回　商議大借款
page 3	陳光遠電稱駐粵贛軍前　佔領　
page 3	英屬華僑學生註冊交涉可望　部
page 3	七日晚及　　晚武昌忽起兵變縱火劫掠全城宣布戒嚴武漢交通斷絕原因不明
page 3	黔訊盧燾為部下所劫持不敢與顧品珍聯合故仍與粵政府一致
page 3	七日閣議決照四月三十日所議三條辦法解決學潮由交通財政教育三部簽字為憑又決發清積欠淘汰教員
page 3	武昌兵變聞係王占元　師市民與軍隊死傷額數相等官錢局亦被焚　
page 3	陳炳焜六號頒布戒嚴令
page 3	西江軍事之拉雜談
page 3	趙德裕到澳門
page 3	南華開設慶祝大會
page 6	馬鄰翼之　　
page 6	威　頓街聞
page 6	九如坊演新奇電術
page 6	傳染症報告
page 6	銀價
page 6	煙案
page 6	白氈昧來歷
page 6	酒未納稅被罰
page 6	風扇案續聞
page 6	將汝懲罰者亦希冀汝改過自新而已云云旋判消案
page 6	顧施兩使對英日續盟　
page 6	北京交通部　認吉會　　
page 6	改建新燈塔之先　
page 6	開　礦報　
page 6	舖票案兩則
page 6	盧耀庭被扣留
page 6	學童被控非禮
page 6	虐待學童案判　
page 6	婦人　
page 6	傭婦被　
page 7	李華秋死後之新興盜風
page 7	新會城軍警因捕賭衝突
page 7	收回公債奈無款何
page 7	滬聞電訊
page 7	中國礦務無進步
page 7	英　開釁之傳說
page 7	美墨訂約之先聲
page 7	雷州餘匪尚為　
page 7	雷州軍事雜述
page 7	函論香山欖鎮商會選舉事
page 7	汕頭華僑聯合會不肯放棄選舉權
page 7	鶴山起擄捕匪　
page 7	順德洒捐又有苛抽
page 7	吳飛下鄉捕煙犯
page 7	有神經病之打單嫌疑人　
page 7	議員妾欲以死殉
page 7	粵軍募守備隊
page 7	少憲法起草近聞
page 7	肇城火警
page 7	不准派兵保護赴悅城輪船
page 7	禁止悅城演戲
page 7	請　清理實業銀行債　
page 7	輪渡被封影響厘　
page 7	市選舉委員辭職
page 7	請派艦巡番屬四沙海面
page 7	東江電線被割
page 7	瑣聞一束
page 7	美作戰部長對於解除軍備
page 7	法國之海軍計劃
page 7	萬國之勞動問題
page 7	教育界控案彙錄
page 7	省江輪渡被匪勒繳行稅
page 8	北京　活地獄
page 9	張勳之復辟始末記
page 9	遠東運動會中之槍聲
page 9	本屆遠東運動中國失敗之討論
page 9	北京學生請維持教育之呈文
page 9	遠東運動會之成績表
page 9	招商局股東接交部覆電
page 9	華南球隊與英隊比賽之結果
page 12	省長再激機器代表談話　
page 12	港梧輪船搜出軍　
page 12	　　拜悅城　
page 12	河源疫症加劇
page 12	省視學會議
page 12	截獲大幫偽　
page 12	暑假休學日　
page 12	虎不良　
page 12	國會歲費支給五折
page 12	旅粵安徽同鄉會成立
page 12	西醫風潮將愈演愈劇
page 12	工程師會質問杜之　
page 12	罷工要求加薪
page 12	縫工要求加薪
page 12	市選舉舞弊案審訊情形續聞
page 12	揭發皮革公司黑　理委員程天斗　
