page 3	大節懍然
page 4	添兵查屋本港官府以鄰近埠中患疫猶未停息政府不得不思患預防派兵差查屋為杜漸防微之計然港中四環地頗迂綿屋
page 4	粵督過港
page 4	箱中有屍
page 4	釐捐短收
page 4	批約續音
page 4	歐人作保
page 4	風行改正
page 4	又云現聞英國聯絡法德俄阻止中國讓地
page 4	初九日上海西報云
page 4	續何大律師中國宜改革新 論議
page 4	督憲牌批
page 4	又海關清書楊世祿稟批
page 4	睦??善
page 4	廣勇赴台
page 4	城南回祿
page 4	黑?中人
page 4	又傷賊匪
page 4	金花報喜
page 4	國子監司業奴才瑞洵跪
page 4	李瀚章片
page 4	二品頂戴新授江西按察使臣翁曾桂跪
