page 3	府案
page 4	督憲牌示
page 4	升補赤溪協右營都司潘斯洛?赴新任
page 4	澄海營左營守備事務委南  鎮右營守衛李國棟調署
page 4	南澳鎮右營守傭事務
page 4	牌示油行
page 4	梧準  
page 4	請禁軍火
page 4	劫渡多賊
page 4	賊劫醫  
page 4	  春名句
page 4	振興實學
page 4	犯君所  
page 4	撲朔迷離
page 4	大宴西賓
page 4	借放  
page 4	羽毛銷數
page 4	一胞四女
page 4	叻防天花
page 4	犯婦廢毒
page 4	申金式?
page 4	奏  郵政
page 4	京  對客
