page 8	商會獻金台昨成績
page 8	婦女兵災會二週紀念盛況譚世藩夫人仍任主席
page 8	致開會詞
page 8	過去兩年
page 8	婦人服毒獲救
page 8	選舉結果
page 8	九百兩私煙案一婦人處徒刑
page 8	全港公開游泳昨夕二次決賽百碼自由式羅蘭士壓倒群雄八百八十碼陳震南榮獲冠軍
page 8	童子一百碼自由式
page 8	國醫學院獻金訊
page 8	國際棒球賽定下星期六開鑼葡萄牙遇不列顛大中華對美國今明兩日聯賽補戰有兩場舉行
page 8	心嘉杯賽今有三場戰事太古昨勝威靈頓甲
page 8	夏令籃球戰程
page 8	今日之足籃球義賽
page 8	有自稱祝宗樑袁漢俊二人致函各報自承刺程兇手
page 8	革履下會獻金結果
page 8	商賑會獻金台結束今後僑胞獻金仍可隨時代匯陳維周昨亦捐獻國幣一萬元
