page 3	西報公詞本港西報云港憲留意報淨      力 所查驗者是華人屋宇  拒德 居處不易也不思 人 居之屋亦遭是秋  塵有某簡     
page 4	?弱論
page 4	英使養?
page 4	鷺江軍信
page 4	損輪折回
page 4	庫?支絀
page 4	竊物判監
page 4	補紀澎湖戰事
page 4	紅單新授臬憲張大人由廣西起程進京陛
page 4	藩署批詞
page 4	柏台批示
page 4	欠餉累舖
page 4	火警詳述
page 4	同心之言
page 4	命為之也
page 4	酒 餘談
page 4	太子少保頭品頂戴兩廣總督臣李瀚章跪
page 4	粵督李片
page 4	李瀚章片
