page 2	THE last Customs Gazette recording the duties collected under the old tariff has just been issued from Shanghai.  The next number, containing the October-December statistics.
page 3	CONCENTRATION CAMP MORTALITY.
page 3	WIRELESS TELEGRAPHY --- CORNWALL TO NEWFOUNDLAND.
page 3	RUSSIA AND ARMENIA.
page 3	THE SCHLEY ENQUIRY.
page 3	LABOUR BILL IN QUEENSLAND.
page 3	LIFE IN THE FAR EAST.
page 3	GENERAL CHAFFEE ON THE PHILIPPINE.
page 3	POLICE AND PUBLIC AT SHANGHAI.
