page 2	THE NEW WATERWORKS: GEOLOGICAL NOTES.
page 3	POLICE COURT.
page 3	ALLEGED ASSAULT.
page 3	ON SUSPICION OF STEALING A CLOCK.
page 3	OPIUM CASES.
page 3	LARCENY.
page 3	FANTAN.	
page 4	COLLECTORS WITH ODD TASTES.
page 4	SPOOPENDYKE GOES BOATING.
page 4	HOW GENERAL GRANT WENT THIRSTY.
page 4	HE LIVED ON "TOAST AND GRITS."
