page 2	ON our fourth page will be found some Taiping records which appeared in the last issue of the North China Herald and which are both extraordinary and instructive. What a miserable movement is that of the Taipings to he sure!
page 4	Taiping Records.
page 4	Some Ourious facl.
page 4	Statement of Hung-fu-Tlen, Son of the Tlenwang.
page 4	statement of Hung-jen Cheng.
page 4	Stafement of Huang-wen-ying.
page 4	Proclumation by the Ticoon and Garokie of Japan.
page 4	PROCLAMATION TO THE GOROCIO.
page 4	From the Gorogio to the Governors of Citier respecting Coolies.
