page 1	因戰略關係暫向某方移腳
page 2	粵省主席吳鐵城明晨抵港
page 2	粵省府主席吳鐵城昨由滬乘日本皇后輪南返明晨抵港省府秘書李炳瑞等數人今晨首次快車來港迎候據李 吳主席明晨到港省方預定
page 2	時局緊張警察注意治安
page 2	剌陳麗珍案定期正式開審
page 2	賑災會昨捐得款千餘元
page 2	九龍巴士改訂收車費辦法
page 2	再防霍亂廣九路檢驗乘客
page 2	時局緊張某洋行停運八月份貨
page 2	中日戰事緊張華人代表勸橋胞保持鎮靜
page 2	兩槍匪被判入獄
page 3	女撈家(二八)
page 3	糊塗先生(一一三)
page 3	林飛熊武術歷略(二八)
page 4	中央應付戰時經費財部飭令各省餘款掃數繳解
page 4	行營昨晚召開粵桂國防會議
page 4	廣州民船工會拒絕起卸日貨
page 4	官民統籌安定非常時期民食
page 4	小學教員發癲揮刀傷友
page 4	省商聯合會飭各商會檢查私貨
