page 1	今晨中日?軍在跑馬?附近激戰
page 2	商會與東院今日開聯席會議討論籌賑九省旱災關於籌賑九省旱災東華醫院及華商總會定今日下午二時半召開聯席會議
page 2	國遞辦事處今日開始發選舉票
page 2	落馬洲謀殺案拘獲嫌疑犯多名
page 2	刺陳麗珍案提堂
page 2	謀殺案三?犯今晨提堂
page 2	三心被控藏有五百元偽幣
page 2	少年飲臭水自殺
page 2	私運偽幣案押候
page 2	日漁人南侵擬調六十艘漁船來港
page 3	女撈家五六
page 3	法國尼姑的生活狀況
page 3	林飛熊武術歷?十一
page 3	閰錫山病中之怪醫生
page 3	辱華片何其多
page 3	糊塗先生九六
page 3	漫筆
page 4	和戰無定之中日戰事
page 4	余漢謀飛廬參加座談會向蔣委長請示甲種師編制
page 4	華北風雲正急潮汕浪人又四出活動
page 4	粵防空局部演習
page 4	紐約之海上旅館
