page 1	中央抱定不再喪失寸土決心
page 2	蕭振瀛歸國抗戰
page 2	前天津市長蕭振瀛出國考察現聞華北戰事發生遂即由美返國參加抗戰蕭氏乘夏威夷飛展號飛機啟程日前抵達夏威夷
page 2	各界集中力量長期募捐
page 2	全國名人書畫陳列處派員來港開展覽會
page 2	港政府擬辦防毒訓練班
page 2	兩人有拐帶嫌疑
page 3	女撈家(三二)
page 3	糊塗先生(一一七)
page 3	林飛熊武術歷略(三二)
page 4	百粵民眾準備長期抗戰節食捐輸並開始征募救國捐
page 4	非常時期重要問題白銀保管燃料供給均將開會討論一切
page 4	四邑航商晌應廣州航商決案
page 4	粵滬路趕籌通車
page 4	停止談判汕案
page 4	財廳佈告促進統一幣制辦法
page 4	迷信風水誘殺案
page 4	石諅號小輪爆炸
