page 1	中央大軍開到保定
page 2	國府秘書區玉書談中央己準備抗戰孫科等因時局緊張中止南下 府秘書區玉書于今晨七時乘柯力之總統輪由滬抵港
page 2	九龍城衙前圍道金舖劫案已獲兩疑犯
page 2	第二批白銀今晨運抵港
page 2	李祿超南返過港滬粵鐵路年底可通車
page 2	青山道上司機深夜遇城
page 2	本港人宜防痢症
page 2	水藝會廷期舉行
page 2	四人被控藏毒品
page 2	籌賑旱災東院今晨召開緊急會議
page 2	怡和山道藏毒案定期審訊
page 3	女撈家七O
page 3	青島夏天的白兔
page 3	林飛熊武術歷?十六
page 3	巴博紀念郵票
page 3	求偶之螢光
page 3	糊塗先生一O一
page 3	漫筆
page 3	幽默新語
page 4	省市商會籌組抗敵後援會
page 4	張繼與其女公子瑛控訴沈宜甲迫婚案
page 4	捲?統稅分級增加後華資煙廠之前途
page 4	蔣令四路軍佈防粵閩沿?
page 4	取締不良戲劇
page 4	新馬師曾上訴案
