page 1	日軍聲言今午開始進攻
page 2	賑濟九省旱災
page 2	二批賑款今晨匯往籌賑會繼續沿門勸捐九龍各社團發起籌賑東華醫院華商總會聯合辦理籌賑九省旱災大會昨日為沿門
page 2	華北大戰將爆發
page 2	警察當局組織巡查隊早午夜出巡市面
page 2	偷運銅元來港三人被拘罰款
page 2	強搶紙幣 入獄
page 2	新界上水發生謀殺疑案
page 2	颱風消息
page 2	黃薊將乘輪南返
page 2	九龍倉苦力跌斃
page 2	西環托兒所開幕
page 2	電影消息
page 3	女撈家(一九)
page 3	糊塗先生(一0 四)
page 3	林飛熊武術歷略(十九)
page 4	「鎮定」與「不屈」
page 4	余漢謀中止赴廬後軍事當局加緊布置粵閩防務
page 4	油案會談結果擬定解決辦法
page 4	蔣委員長在廬山談話會中對廬案之重要報告
page 4	華北時局影響廣州市糧食價漲汎
page 4	地政局儀器被盜
