page 9	省力省心白吃黨官發胖三大原因
page 9	工資收入幹部最低
page 10	港澳商珠海行騙詐財或拖欠資金令部份企業面臨困境經營管理不善濫權促成詐騙
page 10	勞工處提醒各僱主準時支付員工薪金最高罰款二萬最近一例罰五千
page 10	出口買脹在港穩步發展款額預料超過百億美元
page 10	退休人士個人理財上收益毋須高但要有規律風險低理工學院商業學系高級講師
page 10	廉署提倡管理有道月底辦商業管理賽
page 10	提高生產效率製衣業電腦化適合數十至數千人工廠
page 10	委員會月中會議討論破產保障基金擬擴至遣散費最高索償每宗四千元
page 10	第一太平銀行開拓零售業務提供自住樓宇貸款計劃兩年內計劃開八間分行
page 10	恒和珠寶參展吸引大量買家
page 10	中資地產新秀隱憂暗伏管理階層貪污人才不足內部歪風須矯正避免投機買賣
page 11	巴基斯坦種族暴亂形勢持續喀拉蚩已癱瘓信德府成死市肇事區實施宵禁並派軍隊座鎮政府特別小組將進行徹底調查
page 11	海地軍方政府重典治亂世公務員限今日上班否則革職或將判監學生攪小示威軍警來即撤退
page 11	日皇病情面臨危篤
page 11	兩伊外長直接談判今日可能恢復舉行上周末之談伊拉克外長曾拂袖古爾拉苦於與兩外長保持聯繫
page 11	葫蘆裏未知賣甚麼藥海地三名持械士兵強登飛往紐約航機武器交駕駛室機長准乘機同行
page 11	巴拉圭總統將延期訪台
page 11	智利百萬人示威反政府週三投票定政府命運
page 11	回國僑胞昨報到莊欽發又拔頭籌連續第四年第一報到
page 11	老戈更大的考驗
page 11	紐約時報專題報導台灣政經進步海外學人專家多願回台服務
page 11	蘇聯減少海軍部署活動
page 11	藏械兼殺妻一日籍商人已落網候訊
page 11	以左翼工黨攪間諜醜聞保守黨正研究報章消息報導
page 11	兩伊談判未見熱烈
page 11	科拉桑對記者常常信口開河沙朗加指出三點錯誤
page 11	方勵之在海外放言高論罵中共黨政領袖鄧小平甚為震怒
page 11	耶路撒冷發生兩宗計時彈爆炸三以少女受傷警方歸咎巴解
page 12	永久居民不論富貧年齡皆獲阿拉斯加派發石油利潤八百多元首批支票月中發出總額四億三元
page 12	克宮睇唔到的乾淨蘇禁酒令下流弊衍生私人造酒廠乘虛而設
page 12	發財立品熱心公益酋長國呼籲全球攪運動對付愛滋
page 12	南岸海灘通宵苦戰屢敗屢試澳洲志願人員搶救拖卅隻鯨魚出大海
page 12	東區舉行水運會楊耀聲剪綵開幕李廣林籲請增建泳池
page 12	助精神病者康復尊重接納為良方
page 12	東區康樂體育會組隊伍參加公益金東廊百萬行
page 12	男女籃球健兒爭奪樂善堂盃
page 12	金域假日酒店辦德國啤酒節
page 12	今日衝破蘿白頭框框日本推行健康十訓言簡意賅內裏包含很多科學道理
page 12	汲取上次爆炸意外教訓發現號上太空人失重下試逃生衣今日飛返地面降落加州
page 12	滋生大群蚊子引來萬隻蟾蜍
page 12	慶祝澳洲立國二百週年安德魯莎拉檢閱澳海軍敬禮儀式十六國家派艦隊參加
page 12	大膽設計
page 13	國際華裔小姐選美李嘉欣為本港爭光
page 14	亞姐選了四屆人數亦告增多黎燕珊促組聯誼會望劉天蘭代起名稱
page 14	鄭君略謂無線大門為人材開高層離去未受影響履行新合約節目大調動
page 14	廣東粵曲團月中來港門票開始預售
page 14	梁淑怡否認陳禎祥過檔亞視第二次職員調動望高層架構健全
page 14	亞太姐兩候選佳麗行公益金大讚香港風景優美建築宏偉市民友善
page 14	家中開動大要賺外快丘碧瑜馬會兼職
page 14	四大傳播機構參加百萬行邱月清被稱邱肉感相士批廿六歲結婚
page 14	呂良偉突破
page 14	面對新聞界常說錯話陳淑蘭謂面精心懵改變性格非常辛苦
page 14	為仁濟敬老唱粵曲岳母刺字羅家英杜瑞卿合拍
page 14	辛潘出身於戲劇世家被煲水新聞害苦
page 16	反映了對遠洋付貨的應旺反淡對今年八月及首八月外貿統計的分析
page 16	央行干預陰影籠罩石油跌價美元續處穩淡局面油價跌有利耗用國日圓受惠稍作扳高本週美公佈失業率已為市場注視焦點
page 16	可能破壞銀行貸款制度取消債項非好辦法先進工業國宜尋求以生產技術及管理支援協助後進國有效發展經濟單純貸或贈款均非積極途徑
page 16	美加策動貿易自由化協議美加經濟同受裨益列根總統已簽署此協議加眾議院亦通過只待立法後施行往後美加貿易關係更密切對經濟有刺激作用亦有機對國際貿易有促進作用對本港應利多於弊
page 16	列根否決紡品貿易法案港人視為喜事料影響未過去
page 16	拓銷日本市場策略以電子產品來說港商除要充份掌握日本市場需求趨向外盡可能取得日本進口及零售商合作亦甚重要而更直接的做法便是在當地設置售網從而減少中間障礙
page 16	香港現今的商業環境東亞銀行董事兼行政總裁李國寶先生於九月九日在瑞士蘇黎世舉行的一項香港與歐洲商務會議上演講全文一
page 16	共市成員經濟結構有異共市單一化貿易政策難逆料貿易政策亦頗見分歧會否成為一大貿易壁壘目前尚難斷言不過其統一化之審核標準卻有助貿易程序簡化未來共市之間貿易只能審慎樂觀
page 16	台當局復徵證交利得稅決定完全正確股市賭徒樂極生悲咎由自取提前三個月宣佈並照顧小額投資者之措施合情合理部份投機炒家糾眾齊集示威抗議醜態畢露而毫無意義真正投資者不應受彼輩蠱惑利用財政部之堅決立場值得贊許及支持但願能堅持與成功
page 17	政府化驗師李南生介紹科學鑑證技術協助調查罪案
page 17	傢俬裝修同業商會宴賀羅善祥獲獎章
