page 7	海事處招標公告
page 7	道路　工程　使用及補償　條例香港法例第370章根據第11　9　a　條規定所發之公告工務計劃項目第348CL號天水圍發展計劃第五組基本建設第四號合約第二部分
page 7	道路　工程　使用及補償　條例香港法例第370章根據第8　2　條規定所發之公告鴨脷洲橋道改善工程利東邨與利南道之間之一段
page 7	屋宇地政署前濱及海床　填海　條例　香港法例第127章根據上述條例第5條規定所發之公告修改興建赤鱲角新機場所需之海床範圍
page 7	城市規劃條例　香港法例第131章土地發展公司計劃圖亞皆老街　上海街發展計劃圖第S　K3　LDC1　1號
page 7	城市規劃條例　香港法例第131章土地發展公司計劃圖上環皇后街發展計劃圖第S　H3　LDC3　1號
page 8	甲組足球賽深水埗場夜演麗新花花對壘麗新鋒綫靈活攻銳可被看高一綫中堅拉羅外借星島後防將受考驗
page 8	停賽旣匆匆談判亦急促泰臣盧鐸決定重賽定於六月廿六擧行史提爾犯衆怒下仗不會任裁判
page 8	澳洲好手嘉士文　右　南非居倫　左
page 8	九一沙龍職業網球公開賽四月一日維園展開港將獲發外咭與世界精英爭排名
page 8	澳洲名將馬殊八七澳洲公開賽擊敗碧加四强　八八年温布頓網賽曾挫麥恩萊　下月來港參加沙龍網球公開賽
page 8	世界盃泳賽第五站錢紅五十蝶奪后座
page 8	在列寧格勒擧行的世界盃游泳賽第五站　中國錢紅在女子五十米蝶泳勇奪金牌
page 8	奧運會乒球新規則預賽首名方可出綫方便電視轉播球台藍色乒球黃色
page 8	首屆世界女足十一月揭幕中山趕建現代球場佛山集資二千萬元
page 8	佛山人要感動　上帝
page 8	築良巢期待鳳來棲
page 8	港劍手李錦輝鄧廣豪赴穗參加全國劍擊A賽
page 8	校際田徑第一組男丙廖俊祺百米二百米俱破大會　上　男乙標槍張源斌亦創新猷
page 8	加士居是否投拉素視乎熱刺前途而定
page 8	校際田徑賽男子乙組季軍佐治五校
page 8	南北韓乒乓球選手在日展開共同訓練
page 8	校際田徑賽男子乙組亞軍喇沙
page 8	1-0葡國盃足賽第七圈賓菲加勝馬利迪莫
page 8	中國代表抵蘇黎世介紹首屆世界女足今年十一月於中國廣東擧行
page 8	校際第一組田徑賽男子乙組冠軍拔萃
page 9	中國歷史 ︰ 　一　蒙古三次西征
page 9	友　教無　淚　專欄英語科教學的反思　作文歐陽英昌
page 9	北京大學香港城市理工同意在港成立法律研究中心推廣中國法律及普通法等研究獲多方經援無意尋求政府參與
page 9	童軍總會二元獎券銷售成績逾四百萬
page 9	文史常識問答三至五月擧行
page 9	環保詩文朗誦會　山水清音下月二日中大邵逸夫堂擧行
page 9	中港兩地大學協議研究香港有毒中藥
page 9	中大校外海外學院合辦精神科護理課程五月中截止報名有助本港護士在加國註冊
page 9	香港教師會新任理事四月六日擧行就職禮
page 10	美國新移民法特殊規定適應香港環境需要列為個別外國不是屬土
page 10	合約未拿到　花錢已不少科威特重建計劃龐大美工商界皆欲分杯羮
page 10	改造人類基因抗癌美核准此先進技術
page 10	未得馬革裹屍　卻遭惡婦毒手一美軍自中東返國被妻子及其弟謀殺
page 10	海關罷工殃及畜生
page 10	聯合國副秘書長提出警告石油需求不斷增加新能源危機正醞釀
page 10	佐治加里已獲確認英坎特伯雷大主教
page 10	　巨人　倒下
page 10	山東萊州將擧辦第二屆月季花節對外文化交流項目之一
page 10	全世界最多人口黑人國家尼日利亞至九五年逾八萬人死於愛滋
page 10	搶修油井
page 10	不少亞洲留學生在澳洲違反法例賣淫販毒及有組織犯罪
page 10	新疆塔里木河上架八座百噸浮橋
page 10	美國十大最賣座電影榜首者與奧斯卡無緣
page 10	週二來自美國的石油專家正在科威特搶修一個油井　以免受遠方正在燃燒的油井波及
page 10	一名工作人員周二在邊境區南安德里亞貨車內找到三頭馬的屍體　並將之運走　近日因意大利海關罷工　導致接近三千部貨車囤積在邊界交界處　使車內數百頭動物死亡
page 10	加州堪布特紅木公園內的一株大紅木在週日的一場暴風雨中倒下　該樹於一九七二年所量度得的高度為三百六十二呎　在世上排名第四　被稱為戴斯維爾巨人
page 10	美商僱員移民資格
page 10	技術人才優先待遇
page 10	投資移民所需條件
page 11	東華三院擧行儀式主席移交契據印信辛未年董事局下月廿六就職禮
page 11	香港遊樂場會開辦家長課程
page 11	樂華五百耆英欣賞粵曲聯歡
page 11	圖　樂華邨粵曲聯歡會開幕　主禮人剪綵
page 11	港島獅子會訪印尼締結同盟授旗出發
page 11	愉景灣辦連串節目與衆同歡慶復活節
page 11	香港仔坊會會慶理事擧行就職禮
page 11	圖　香港仔街坊福利會就職典禮　各首長向嘉賓祝酒
page 11	僑港雲浮會所董事職員就任
