page 2	THE principal event of the lengthy meeting held yesterday afternoon in the Council Chamber was the re-entrance of the Hon. F. B. Johnson into the arena of public affairs.
page 3	THE RIOTS IN COUNTY CORK.
page 3	FRENCH COMMERCIAL TREATY-MOTION CARRIED AGAINST THE GOVERNMENT.
page 3	SALE OF WAI SING LOTTERY TICKETS.
page 3	ALLEGED THEFT OF TEN DOLLARS.
page 3	DISORDERLY CONDUCT.
page 3	THEFT.
page 3	MOORING INSHORE BEFORE GUNFIRE.
page 3	QUARRELSOME BOATMEN.
page 3	SHANGHAI.
