page 2	REUTER'S TELEGRAMS.
page 4	SLEIGHT OF HAND.
page 4	WITHOUT LEAVE.
page 4	ROBBING A FELLOW SEKVANT.
page 4	THEFT ON BOARD.
page 4	AS SLEEPY AS AN OWL.
page 4	DEXTEROUSLY DONE.
page 4	ROBBERY.
page 4	ERRONEOUS IMPRESSIONS.
page 4	BANKRUPTCY PROCEEDINGS.
page 4	Singapore.
page 4	THE SPANISH POSSESSIONS IN THE FAR EAST.
page 4	He was the first that ever burst.
