page 2	PROFESSOR REYNOLDES, a well known "scientist," lays down the rule in a late number of the Engineer "that when the action of the screw of a steamer is reversed, the action of the helm is reversed," and again.
page 3	THE STRANGE MURDER CASE.
page 3	ASSAULT.
page 3	CHAIR HIRE.
page 3	BURGLARY.
page 3	HIGHWAY ROBBERY.
page 3	SUBORNATION OF PERJURY.
page 3	"TO BE OR NOT TO BE."
page 3	NANKING.
page 3	SEVERE GALE IN YOKOHAMA.
page 3	THE INSURRECTION IN JAPAN.
page 3	COLLAPSING BOATS.
