page 4	WE remarked a few months since that, unless the terms of service of the four more experienced of our Police inspectors were renewed, the Police Force and the Colony might be deprived of their services at an early date.
page 5	GIANTS IN THESE DAYS.
page 5	MENDICANCY.
page 5	ASSAULT.
page 5	AN INCONVENIENT DISPUTE.
page 5	FROM SWATOW TO CANTON.
page 5	THE SUEZ CANAL.
page 6	GOOD MANNERS.
page 6	THE BLUE UMBRELLA.
page 6	DIRECTING LETTERS.
page 6	SALVAGE.
page 6	THE CHINESE IN PERU.
