page 2	IT is not a little significant the H.E. the Governor had barely left the Harbour yesterday before his accuracy of statement became the subject of discussion in the Legislative Council.
page 3	A STRAGGLER.
page 3	ROGUE AND VAGABOND.
page 3	RETALIATION.
page 3	ASSAULT.
page 3	AN ANNOYING BEAMAN.
page 3	FRISKY PORTUGUESE YOUTHS.
page 3	HAT SNATCHING.
page 3	THE COLONY OF PORT BRETON.
