page 3	In connection with Mr. Deane's crushing reply to the misstatements of he Secretary of the Anglo-American Municipal Council at Shanghae we have been placed in possession of a return.
page 4	LOCAL.
page 4	CANTON.
page 4	TO-DAY'S POLICE.
page 4	FEARFUL COLLIERY ACCIDENT IN SAXONY.
page 4	BRITISH NATIONALITY.
page 4	"PRUSSIAN PRAYERS."
page 4	THE POLICE OF PARIS.
page 4	FRENCH PSEUDONYMS.
page 4	BILLIARDS.
page 4	MISCELLANEOUS.
