page 2	A LETTER referring to the Governor's speech at the Victoria College will appear tomorrow.
page 3	CHINA BORNEO CO LTD.
page 3	SELLING CHINESE SPIRITS TO EUROPEANS.
page 3	THE LEGISLATIVE COUNCIL.
page 3	PARERS LAID ON THE TABLE.
page 3	THE ATTORNEY GENERAL AND PRIVATE PRACTICE 
page 3	THE JURY LIST.
page 3	REPORT OF THE QUARANTINE COMMISSION.
page 3	ANNUAL GAOL REPORT.
page 3	THE KOWLOON FERRY SERVICE.
page 3	SIR WILLIAM DES VCEUX AND THE SUNDAY CARGO-WORKING ORDINANCE.
page 3	THE MURDER OF MR. GOWER ROBINSON.
