page 4	We have received, for review, from Messrs Powell and Co., of Singapore, a copy of a pamphlet entitled "William Geoflrey's Profit," The book shows that $350 per month is not a princely salary.
page 5	THE NEW HEBRIDES.
page 5	A BLUE BOOK ISSUED.
page 5	In Reply to Australia.
page 5	THE BRITISH FLEET.
page 5	The New Composition.
page 5	RUSSIA.
page 5	Horrors at Lodz.
page 5	THE UNITED STATES.
page 5	Investigating Trade Combines.
page 5	THE TRANSVAAL ELECTIONS.
page 5	Fixed for February.
