page 2	THE London papers received by the mail on Sunday contain the despatches in relation to the Yunnan affair that had just been issued by the Foreign Office.
page 4	THE SPIRIT OF THE MORNING PRESS.
page 4	THE HONGKONG NATIVE PRESS.
page 4	MURDER.
page 4	ALLEGED CONSPIRACY TO DEFRAUD.
page 4	THEFT OF HALF A DOLLAR.
page 4	RETURNING FROM DEPORTATION.
page 4	ARRIVAL OF THE FRENCH MAIL.
page 4	LATE TELEGRAMS.
