page 2	APART from the system of trades unions and guilds, which have all along flourished securely in Hongkong, and side by side with the system of middlemen, exemplified by the Macheens and Compradores.
page 3	AFFAIRS IN EGYPT.
page 3	ABRIVAL OF BRITISH TROOPS.
page 3	ANGLO-FRENCH PROTECTION OF THE CANAL.
page 3	PETTY THEFT.
page 3	UNLAWFUL POSSESSION.
page 3	CARELESS DRIVING.
page 3	CUTTING TURF WITHOUT PERMISSION.
page 3	UNLICENSED RETAILING OF SAMSHU.
page 3	BURGLARY.
