page 2	OUR correspondent "Public Duty" has not attached sufficient weight to one very important point in the interpretation question. We refer to the dictum of the Chief Justice that the rendering.
page 3	POLLUTING A STREAM.
page 3	GAMBLING.
page 3	DRUNK IN A GUTTER.
page 3	LARCENY.
page 3	SUPREME COURT INTERPRETATION.
page 3	THE CROSSING OF THE DANUBE.
page 3	OPERATING IN BULGARIA.
page 3	GENERAL GRANT AT TRINITY HOUSE.
page 6	APROPOS of the proposal of His Excellency the Governor to employ convicts on useful labour, it may be observed that a very satisfactory account is given of the working of a system of this kind at the Singapore Gaol in the report of the Superintendent of that establishment for the last year.
