page 2	MR. Whitehead is somewhat early in the field against the Po Leung Kuk Ordinance, the hon. gentleman having sounded the first note of opposition at Monday's meeting of the Legislative Council.
page 3	UNIVERSITY BOAT RACE.
page 3	RUSSIAN FAMINE EXPENDITURE.
page 3	ATTEMPTED OUTRAGE IN MADRID.
page 3	THE IMURIS MINES.
page 3	PASSED SUEZ CANAL.
page 3	THE OPIUM TRADE3 WITH SAN FRANCISCO.
page 3	RESCUE OF A JUNK'S CREW.
page 3	IN VICE-ADMIRALTY JURISDICTION.
page 3	AMERICAN WEALTH.
