page 2	At the Maglatscy to-day, a Chinese ancils was sentanced to four months' imprisonment.
page 3	THE DESTRUCTION OF FRENCH MISSIONS.
page 3	THE UNITED STATES.
page 3	THE IRISH COUNTY COUNCIL.
page 3	THE VICEROY'S ANXIETY FOR THE 'SANDPIPER.'
page 3	IMPROVEMENTS AT WUCHOW.
page 3	NATIVE SUPERSTITION.
page 5	LANGUAGES IN BRITISH ISLES.
page 5	THE EX-SPANISH GUNBOATS.
page 5	FURTHER DETAILS.
