page 2	We have received a "Schedule of the Annual Flower Show of the Hongkong Horticultural Exhibition Society." The exhibition will be held on Friday and Saturday.
page 3	DRUNK.
page 3	STEALING.
page 3	UNLAWFUL POCCESSION.
page 3	BREACH OF THE STAMP ACT.
page 3	LARCENY, &C.
page 3	LARCENY AND RECEIVING.
page 3	VICTORIA REGATTA.
page 3	TWENTY-SECOND MEETING.
