page 2	IN referring to the verdict in the Shek-o murder case yesterday we omitted to refer to one matter, which is considerable importance in considering the question of provocation.  It is that the alleged blow with the grass-hook.
page 3	Police Intelligence.
page 3	DARING ATTEMPT AT ROBBERY.
page 3	Marine Court.
page 3	June 21, 1878.
page 3	THE "PER AEDUA" AGAIN.
page 3	THE NEW CARBON MOTOR.
page 3	HOW THE AMERICAN COMMUNISTS SETTLE THEIR LITTLE DIFFERENCES.
page 3	Miscellaneous.
