page 2	THE Penal Law Amendment Bill and the Banishment and Conditional Pardon Ordinance have passed through Committee, and have been read a third time.
page 3	THE IRISH LAND BILL.
page 3	SERIOUS RIOT IN MARSEILLES.
page 3	ANTI-FRENCH FEELING IN ITALY.
page 3	CARELESS DRIVING.
page 3	ROGUE AND VAGABOND.
page 3	HAWKING WITHOUT A LICENSE.
page 3	STREET GAMBLING.
page 3	INDECENTLY DRESSED.
page 3	THEFT.
page 3	FIGHTING.
page 3	THEFT AND ROBBERY.
page 3	FOOCHOW.
page 3	HIOGO.
page 3	WHAT THE FERRET INTENDED TO DO.
