page 2	Among the gratifying circumstances attending the visit of the Duke of Edinburgh to Hongkong, the Amateur Dramatic performance last night, in the City Hall Theatre, must be very highly placed.
page 3	LOCAL.
page 3	ILLUMINATION IN CHINA TOWN.
page 3	CIRCULAR BUILDINGS.
page 3	JERVOIS STREET.
page 3	SUMMARY JURISDICTION COURT.
page 3	THE SHANGHAI BALL.
page 3	DESCRIPTION OF SHANGHAI IMPERIAL ARSENAL, IN 1869.
page 3	EUROPEAN GOSSIP.
