page 2	A NOTICE in the home-summary of news gives us in a few pithy words some information respecting the Burlinghame embassy which is as startling as it will be distasteful to British residents in China.
page 3	LOCAL.
page 3	HYDROGRAPHICAL NOTICES.
page 3	MINDORO AND SULU SEA.
page 3	THE NORTH.
page 3	JAPAN.
page 3	FOREIGN INTERESTS IN CHINA.
page 3	ARRIVAL OF THE ENGLISH MAIL.
page 3	SUMMARY OF HOME NEWS.
page 3	FOREIGN SUMMARY.
page 3	SINGAPORE REVENUE.
page 3	THE TEA TRADE.
