page 2	UNDER the genial presidency of Dr Ayres, the Soking Concert Club gave another entertainment in the Theatre Royal on Saturday evening.
page 3	THE VOLUNTEER MOVEMENT.
page 3	PUBLIC MELTING.
page 3	APPALLING DISASTER NEAR CANTON.
page 3	FIRE INQUIRY.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	ALLEGED MANSL UGHTER BY AN BLDERLY CHINAMAN.
page 3	IN ORIGINAL JURISDICTION.
page 3	THE DUNMAIL SALVAGE CASE.
