page 2	The papers to hand by to-day's French Mail contain several articles upon the "Burlingame treaty," as it is conventionally called, the liberal press affecting to disbelieve the truth of the assertions.
page 3	LOCAL.
page 3	DEATH, BY VIOLENCE.
page 3	SUPREME COURT.
page 3	SPECIAL CRIMNAL SESSION.
page 3	MURDER AT SEA.
page 3	ARRIVAL OF THE FRENCH MAIL.
page 3	BOMBAY TELEGRAMS.
page 3	GALLE TELEGRAMS.
page 3	THE HIERARCHY OF THIBET.
page 3	A PROPOSAL.
