page 2	THE recent discovery of the Chief Justice that the deportation warrant of one Chun Afook was dated the 18th April, while the deportation was ordered in it to commence from the 25th, of the same month.
page 3	IN VICE ADMIRALTY.
page 3	A COLLISION BETWEEN TWO STEAM-LAUNCHES.
page 3	NUISANCE IN COCHRANE STREET.
page 3	A DIAGNOSIS.
page 3	THINGS IN GENERAL.
page 3	THE CHOLERA IN NEWCHWANG-YINGTSZE.
page 3	THE STATE OF BARBADOS.
page 3	To the Editor of the STANDARD.
page 3	THE CHINESE CAMPAIGN IN THE NORTH-WEST.
