page 4	THE Straits Times of July 23 copies a letter which lately appeared in our local contemporary's columns, and to which we referred at the time.
page 5	THE SLIP AT WEST POINT.
page 5	THE STRAITS.
page 5	THE MISSING STEAMER THUNDER.
page 5	THE MISSING STEAMER CHEDUBA.
page 5	THE TAMARIS TRAGEDY.
page 5	SHIPWRECK.
page 5	THE ASSOCIATION MEETING.
page 5	LATEST TELEGRAMS.
page 5	FRANCE.
page 5	MINISTRY.
page 5	AN ENTERPRISING RAJAH.
page 5	MERMAIDS AND MERMEN IN THE CHINA SEAS.
