page 2	THE annual report of the Japanese Minister of Education has just been issued, and is an interesting document. The number of elementary schools in existence was 24,225.
page 3	UNLAWFUL POSSESSION.
page 3	DESRRTION.
page 3	A DESTITUTE.
page 3	ALLEGED RAPE.
page 3	LARCENY.
page 3	PASSAGES OF THE DARDANELLES.
page 3	THE PORTUGUESE EMBASSY.
page 3	GRAIN SHIPS.
page 3	Miscellaneous.
