page 2	SEVERAL features in the Prize-giving Exhibition at St. Joseph's College on Saturday call for passing remark. It must be admitted that the Managers of that College are much better versed in rendering such ceremonies interesting and effective than is the Head-master of the Government Central School.
page 3	REUTER'S TELEGRAMS.
page 3	THE WAR.
page 3	LOCAL AND GENERAL.
page 3	HONGKONG AND SHANGHAI BANKING CORPORATION.
page 3	Police Intelligence.
page 3	SELLING LIQUOR TO SAILORS.
page 3	STRAGGLER.
page 3	DRUNKEN HIGHLANDERS.
