page 2	ANTI-OPIUM Agitation is a fearful and wonderful phenomenon According to the Friend of China which further describes itself as the organ of the Society for the Suppression of the Opium Trade.
page 3	ITALY.
page 3	THE REVOLT AT GOA (?)
page 3	TURKEY AND EGYPT.
page 3	MR GLADSTONE ON BIMETALLISM.
page 3	THE STRANDING OF THE BELGIC.
page 3	NEWCRWANG.
page 3	TRAFFIC IN THE SUEZ CANAL AND THE RED SEA.
page 3	THE REFORM OF THE CHINESE ARMY.
