page 9	南精賽事改期風波足總定下周三研究屆時將邀球證陳譚新出席報告
page 9	足球世界雜誌新一期已出版
page 9	港公開初級網賽男女單八强對壘女雙港菲韓三組入四强
page 9	歐洲三大杯賽燃烽火
page 9	上海國際單車賽結束
page 9	丹麥獲歐洲羽賽冠軍
page 9	漢城亞洲運動會旅客逾十六萬人
page 9	胡國雄下屆掛靴黃創山搞告別賽
page 9	銀牌女籃賽爆冷南華昨勝青年會
page 9	花花欠邊線突破俠士兩次送大禮
page 10	蘇邀得十四國專家合作探測火星衞星定於八八年發射無人宇宙飛船
page 10	斯里蘭卡一農民挖出八具古金佛
page 10	長崎複製原子彈
page 10	癱瘓老人將泅渡英倫海峽
page 10	哈雷彗星灑落塵埃疑是地球細菌來源在澳洲的科學家說這些塵埃是有機物
page 10	意毒酒案捕四人中毒喪生者增至十六人
page 10	太空探測器喬托關機九零年七月再探新彗星
page 10	以色列一名士兵愚人節作弄上司偽造情報被判囚
page 10	奈良建友誼森林多國送樹種花苗
page 10	老婦選美
page 10	寶麗來新款相機
page 10	洛克遜遺物值錢在美拍賣進賬豐親綉小地毡值二千美元
page 10	日少年兒童出走三月份急劇增加
page 10	中國製巨佛運日哼哈二將周內抵大阪
page 10	澳洲竟大利裔人擁有私房比率高
page 10	美國研製電子鼻探測炸藥極靈敏可發現五米內實彈手槍
page 10	科拉桑當總統薪酬每月伸值四百美元
page 10	跳舞
page 13	長實去年盈利增倍半達五億五千一百萬元末期息三角八仙全年股息較前增二成七流動資金充裕土地儲備夠未來二年發展
page 13	接受存款公司兩間撤銷註冊
page 13	包玉剛全面收購亞航刺激股市恒指昨回升廿一點港指漲十三點成交二億六千萬
page 13	上海建文華酒店銀團貸款昨簽約
page 13	港出口競爭力加强經濟前景保持樂觀李嘉誠稱樓市可繼續穩定發展
page 13	美電收市價七八○點八
page 13	羅文盛李儀標任羅富齊董事
page 13	匯豐去年資產總值達六百九十億美元較前年增加百分之十三點四四
page 13	星航空業發展佳每年增長百分十
page 13	萬邦與三集團發展地鐵上蓋
page 13	恒生董事長利國偉在年報中稱私人固定投資向好集團總存款逾六百卅億較前年增二成
page 13	資金需求稍減長錢拆息略降
page 13	亨利公司租貨機載歐亞往來貨物
page 13	莊置亨隆均不派息
page 13	蜆殼電器工業將發展微波爐並在內地建廠房降低成本
page 13	御花園昨日截標結果下周二公佈
page 13	前日所失昨日所得
page 16	外商在華投資合同去年批准近三千份合資企業有優待較受外商歡迎畢馬域公司替內地訓練會計師
page 16	中小住宅樓市不俗售價估升百分之五大型樓市况視地區而定
page 16	港金上升十六元場內交收萬二兩
page 16	實金買家落場多
page 16	海港酒店訂購電腦
page 16	港貨輸美增運費非公會船將跟隨時間稍推遲加幅略小
page 16	多纖談判正式開鑼
