page 2	社評希斯之出奔
page 3	歐戰一幕插曲納粹黨重要領袖希斯忽出奔英國臨行曾留一手簡致希特勒英方證明並未攜議和條件
page 3	出亡經過頗神秘但事實顯有計劃駕戰鬥機攜無彈槍自天而降
page 3	希斯剪影
page 3	邱吉爾將晤希斯
page 3	德故作鎮定各報諱稱希斯遇難希特勒自兼黨首領
page 3	當地農民娓娓講述希斯由空降落一瞥最初以為德國傘兵來襲
page 3	美國方面觀察納粹將起分裂
page 3	美應以糧食接濟中國美民主黨報紙之呼籲
page 3	鄂省府借款全部貸予農民
page 3	日本謠言攻勢美國並不重視除非日本遵從九國公約美決不願作遠東調停者
page 3	中澳互派使節我外部已正式公布
page 3	詹森大使定今日飛港昨謁林主席蔣委員長辭行
page 3	滬西歹徒又在租界行兇靜安寺路槍彈橫飛
page 3	節儲運動推行順利總額近三萬萬
page 3	東江戰事猛烈日方傳已陷來惠州博羅晋南鄂北我軍正加緊反攻中
page 4	美澳緊密合作羅斯福接見孟席斯荷外長克勒芬斯抵澳
page 4	德向法土兩國展開外交攻勢希特勒曾接見達蘭巴本已飛返安喀拉
page 4	傳德壓迫維希假道運兵過境
page 4	西國陸軍人員有重要之調動
page 4	首領伊斯坦坡空防再度予以增強
page 4	英美生產開步邁進軸心生產已達頂點
page 4	美新潛艇行下水禮
page 4	倫敦空防已愈臻鞏固十日內擊落德機百餘架德機被迫放棄集體轟炸
page 4	火奴魯魯舉行軍事演習陸空兩軍配合作戰
page 4	近東經濟戰
page 4	維希對日屈服法人深表反對越南與日成立協定後已喪失其獨立與自由
page 4	貞德紀念日法國隆重慶祝貝當發表演說
page 4	美國空軍迅速增強美陸軍航空司令演講
page 4	美海長談已準備作戰對侵略者不限於自守現正期待行動之命令
page 4	美飛剪號飛離新加坡經馬尼拉返美
page 4	泰將擴大南部駐軍計劃派遣軍官赴德日實習並擬與德國互派軍事參贊
page 4	哈里法克斯發表演說謂此次作戰絕不妥協
page 4	拉加第亞發表演說凡能進攻美國之地點不容任何國家之侵佔
page 4	英方注意南美原料資德日向古巴購進大批錳礦鑛
page 4	日本火災八百戶頓成灰燼
page 4	松岡謁日皇日內閣軍部又開會
page 4	羅斯福總統定期發表演說以替代在汎美聯合會之演詞
page 4	法國食糧又告歉收農作物多毀於霜
page 4	巴本返土
page 4	降落傘之又一用途
page 5	粵教廳獎勵師範生增加生活津貼費並妥籌補助小學教師米糧檢討四月份工作成績滿意
page 5	全國羊毛增產擬定五年計劃希望可達四十餘萬擔
page 5	展開廣東政治新陛段一五月十二日李主席在省府擴大紀念週訓話
page 5	廣州市區疫癘叢生街頭巷尾時聞呻吟之聲日軍厭戰思想益見濃厚
page 5	浙閩戰事發生後貨物運輸停頓滬大部工廠停開夜工
page 5	日軍竄擾正果被我團隊擊退
page 5	南洋航輪減少國貨外銷困難復價格高漲貨品不齊星洲國貨市場營業退縮
page 5	犯伯公不逞
page 5	觀測本年日蝕閩組織委員會從事專門研究指定武夷山為工作地點
page 5	英文南華早報著論深刻揭發日本窘態
page 5	陽江禁娼解放妓女多名
page 5	黃松崗浩劫
page 6	駱克道昨日發生三角情殺大慘劇恨愛人轉嫁別郎突行刺保護妻子奪刀反殺兇徒
page 6	離婚在香港今年離婚案數目激增多屬無子女少年夫婦
page 6	米價昨續低跌售賣官米站續設立多處米商伯望當局予以便利
page 6	港澳振會義校新生揭曉港澳振濟委員會及港九
page 6	渡海小輪不加客價貨車過海酌加費用
page 6	酒樓茶室聯合商會請當局當銅元券昨謁華民司經已予考慮
page 6	冒稱孕婦途中行騙行乞亦須妙計
page 6	華商總會組織華僑工品審委會經濟部已予核准成立國貨簽證處停止進行
page 6	西商會報告商務概況船隻短少貿易困難物格高漲工業發達
page 6	中宣部訂立新聞記者法現向本港徵集意見
page 6	廣東銀行被罰款五千元因匯款與滬義國銀行違犯以財資敵之條例
page 6	華南管絃樂隊定期演奏林聲翕馬國霖領導
page 6	港灣輪船運費漲價各輪改航灣澳說不確
page 6	必麗素減價提前十五日結束
page 6	汽車上禁裝收音機移動收音機戶內可使用郵政司談設收音機新例
page 7	中華體育協進會將開同人大會報告一年來經過及改選事宜日間開小組委員會籌備一切
page 7	如是球談
page 7	學界籃球劇戰培英勇克青商初級組廣大僅勝香江今日有比賽三場
page 7	南華遠征隊改明日首途
page 7	協會田徑預選各項成績美滿今日下午五時繼續舉行
page 7	卓雄杯賽明日截止報名
page 7	英皇三軍用命三比一勝皇仁初級組保羅依樣葫蘆贏皇仁今天高級小童各有一場戰事
page 7	股票市況靜穩昨日成交二萬餘元
page 7	美菲荷匯牌價略漲申匯微淡英匯仍靜
