page 12	港府發言人公司業務事補償已足夠
page 13	環保詩文朗誦會下周二中大舉辦
page 13	藝術中心與歌德學院主辦波爾斯藝術作品將展出同時舉行講座展覽導賞錄影帶放映等
page 13	兩齣獲獎戲劇將公演演藝畢業生編導製作包括獨幕劇無根之旅玄米茶
page 13	色彩繽紛復活蛋
page 21	長實盈利逾三十二億較上年增長百分十七另有非經常盈利三億五末期息三角六仙李嘉誠稱近日樓市旺盛料今年業績勝去年
page 21	周年茂指樓市並非過熱樓價升兩成只抵銷通脹天水圍嘉湖山莊及海怡二期下半年推出
page 21	和黃溢利三十五億元增長16%派息四角七貨櫃碼頭又創下年度吞吐量新紀錄
page 21	中銀季刊分析股匯利率總趨勢端視美經濟回升港經濟今年前景較佳料股市年內可攀四千點美元利率大致到底而美滙可能反覆再試高點
page 21	新世界盈利下降五成展望業務前景仍樂觀樓宇工程按計劃進行中期息一角六仙
page 21	怡和安排定期信貸總額約二十八億元
page 21	股市呈窄幅上落成交額僅十一億報三六九一上升七點餘
page 21	監理當局宜明確條文解決跨地區證券問題任何上市公司均應遵守條例守則
page 21	南順食品部分股權日本三井斥資收購
page 21	華置九一認股證今為最後行使日
page 21	奔達出售羅馬地皮作價十一億一千萬比對賬面值虧損七至八千萬元
page 21	長實第一上市地位李嘉誠謂不擬改變認為樓價急升主要為市場需求所致
page 21	結算所培養打工皇帝
page 22	港貨外銷首兩月增值轉口則上升逾三成四留銷進口貨值增顯示本地需求多有形貿易逆差為十六億六千餘萬
page 22	售樓收益減少租金則增多太古全年賺廿四億比較上年下降二成A股派五角七仙B股十一點四仙
page 22	德榮獲建築合約價值四億五千萬
page 22	黃金夜市益受重視
page 22	港旅遊業競爭力雖降恒生稱前景仍然樂觀預計未來十年遊客年增百分七
page 22	港金持續偏軟收市微降八元
page 22	香港金融業總會五月實施新合約
page 22	外幣昨多告反彈加元報收六七三歐幣單位升四點收九五三
