page 2	再論英日關係
page 3	英日關係繼續激盪邱吉爾將發表聲明倫敦仰光香港各地續捕日僑日舉行三相特別會籌商應付
page 3	重光再訪英外部
page 3	日本統治亞洲全屬一種妄想 
page 3	羅馬方面認為日將與英斷交
page 3	大阪民眾大會發起反英運動
page 3	滬大美晚報附近又發現炸彈反共白俄首領被捕 
page 3	塞上風雲在內蒙攝製完畢人員將南下返渝
page 3	日覬覦越南益亟法日已開始外交談判越南地方當局態度比較堅定
page 3	粵省府發起公耕造產運動由上層領導下層作大規模墾荒根本解決糧食問題
page 3	滬法租界內日檢查員扣留大批郵件
page 3	英使卡爾日內即將返滬
page 3	桂林兒童教養院參觀記苦兒的樂園二
page 3	被捕日僑共九人
page 4	龍州以西殘日被我完全肅清宜昌西南日軍受創 
page 4	美海長廣播主實行徵兵此為安全可靠保障陸次亦作同樣廣播
page 4	佐藤返日德國對日態度一概避而不談
page 4	日本設立軍事燃料庫圖補救燃料恐慌
page 4	英后生辰慶祝儀節從簡
page 4	美國兩院議員關心遠東時局多數贊成加強禁運制裁日本
page 4	美輪被扣向日抗議
page 4	英國飛船橫渡大西洋成功
page 4	小磯抵東京要近衛同意南進始允就荷印特使
page 4	中樞紀念週王泉笙出席報告
page 4	西放牙議會加緊法西斯化將以職團制代替選舉法弗朗哥欠德義巨款
page 4	張司令長官關懷返粵僑胞電令妥為安插
page 4	邊疆學會已在榆林成立沙王等任名譽會長 
page 4	南京烏煙瘴氣明爭暗鬥愈烈
page 4	戰後法國疫病蔓延政府設法防止
page 4	林白演說力勸美人重整軍備
page 4	得寸進尺
page 4	佐藤攜回什麽
page 4	粵　不堪壓迫有意棄暗投明 
page 4	伊盟盛會新任幫辦就職舉行賽馬大會
page 4	蔣廷黻報告視察七省感想
page 4	莫洛托夫演說全文一
page 4	日民政黨有月底解散說
page 4	希特勒返抵柏林
page 4	加芬科定七日赴莫斯科蘇羅關係將好轉
page 4	近衛謁日皇並擬召集各界領袖組新體制準備會
page 4	達拉第等將被開開庭審判審判手續將極繁複前內長已被押獄中
page 4	德在挪威調動忙攻英說又熾德軍在挪港口演習登陸北傳曾發生海戰
page 5	華南戰區調整戰地文化事業省縣均設置文教會議由各方協商具體辦法
page 5	斗門軍民鎮定日企圖進犯尚難白蕉雜牌軍又內鬨我軍夜襲連晚獲勝
page 5	粵省府嘉獎抗戰得力人員潮安鄉保長殮葬陣亡士兵中山縣政府職員保全庫款
page 5	中山司法暫歸縣辦地稅亦將設處管理
page 5	街頭詩畫長征二萬里過渝展覽
page 5	新會三水日軍換防
page 5	茂名校長自動請纓效命
page 5	廣東省銀行大量兌省券四行貸款一千萬元粉碎日方奸商陰謀
page 5	澳門義學籌建校舍昨捐得數萬元
page 5	廣西衛生處一日成立翁文淵談工作情形陽朔月內設實驗區
page 5	中央具體進行發展省際貿易由國貨聯營公司負責四聯總處撥款五十萬
page 5	西康日記一三七第六編貢噶紀行
page 5	曲江浩劫妓船大火記傷斃百餘人損失二十萬香窟為墟娼妓不禁自絕
page 6	本港新任代督諾爾頓今晨抵港即午在立法局定誓就職賈乃錫布置防務有功獲勳章
page 6	粵港基督教團體促進節建儲運動八一三作第二期結束王正廷表勸告銷之感想
page 6	婦女兵災會發出紙花二十萬　
page 6	僑港回胞籌設疏散收容所向澳當局請求中
page 6	廣州女師昨舉行入學試
page 6	大埔坳山泥昨晨又塌陷火車乘客廿餘人被生埋已掘出十餘人四人已死
page 6	南社同人聲斥假冒馬小進等發表聲明
page 6	各慈善團體增設貧童義校七月新設義校三十餘間義校教師擬組織座談會
page 6	大學聯誼會 
page 6	混血婦孺
page 6	海晏同學
page 6	梅雨天畫展
page 6	婦女團體傷友運動仍有未清手續者限十四日前清繳
page 6	省振會港辦事處義民證今日發給昨分向各擔保團體查詢東江方面護送人員未定
page 6	紀念魯迅誕辰木刻展展期尚有今明兩日機會 
page 7	九龍西青主辦中西三角游泳賽東方與鐘聲被邀參加定期星期六開始角逐
page 7	東方旗下名將相率來歸
page 7	兩隊簡評
page 7	星島歸鴻
page 7	邀請星洲華聯來港舉行比賽協會方面將向總會建議並請督憲杯賽提前舉行
page 7	籃球風雲
page 7	時局弛緊中港匯市動盪不定上月份牌價高低差額頗巨
page 7	茶葉運港銳減價格大見高漲目前存港尚多正待候輪外運 
page 7	國幣仍穩
page 7	本港上半年度食糧進口銳減戰事影響價格莫不飛漲
page 7	星島移師檳城大勝檳華會六比二勢如破竹郭英祺獨獲四球
page 7	東方遠征追記
page 7	短泳怪傑吳年效力鐘聲
page 7	各方陣勢西青實力不勻 
page 7	擊敗星冠軍
